post_created,post_text,user_id
Sun Aug 30 07:48:37 +0000 2015,Its just over 2 years since I was diagnosed with anxiety and depression. Today Im taking a moment to reflect on how far Ive come since.,lak2803
Sun Aug 30 07:31:33 +0000 2015,"Its Sunday, I need a break, so Im planning to spend as little time as possible on the A14...",lak2803
Sat Aug 29 22:11:07 +0000 2015,Awake but tired. I need to sleep but my brain has other ideas...,lak2803
Sat Aug 29 18:40:49 +0000 2015,RT  Retro bears make perfect gifts and are great for beginners too! Get stitching with Octobers Sew on sale NOW! yay ,lak2803
Sat Aug 29 18:40:26 +0000 2015,It’s hard to say whether packing lists are making life easier or just reinforcing how much still needs doing... movinghouse anxiety,lak2803
Sat Aug 29 18:26:24 +0000 2015,Making packing lists is my new hobby... movinghouse,lak2803
Sat Aug 29 18:21:51 +0000 2015,At what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding...? movinghouse,lak2803
Sat Aug 29 18:12:59 +0000 2015,Currently in the finding-boxes-of-random-shit packing phase. I think I’m a closet hoarder...,lak2803
Sat Aug 29 18:04:05 +0000 2015,"Cant be bothered to cook, take away on the way 😁👍🏼 lazy",lak2803
Sat Aug 29 17:54:54 +0000 2015,RT  ITV releases promo video for the final series of Downton Abbey  ,lak2803
Sat Aug 29 17:54:08 +0000 2015,"... also, I have too much stuff. Way, way too much movinghouse",lak2803
Sat Aug 29 17:52:44 +0000 2015,I never want to put one of these together again lotharderthanitlooks ,lak2803
Sat Aug 29 09:19:29 +0000 2015,Moving stuff is bloomin’ knackering... and there’s still loads to do... 😥,lak2803
Sat Aug 29 09:02:08 +0000 2015,"Back at the house, moving stuff. It’s so peaceful here... I ❤️ 🏡 😊",lak2803
Fri Aug 28 17:22:02 +0000 2015,Urgh. Anxiety. FFS where does it come from?! (Breathe...),lak2803
Fri Aug 28 17:07:45 +0000 2015,"I have too much stuff. Way, way too much... Massive purge on the way.",lak2803
Fri Aug 28 11:23:44 +0000 2015,Hideous traffic on the A14. Must remember to pay closer attention to the traffic reports...,lak2803
Fri Aug 28 10:20:38 +0000 2015,Packing and purging. Feels good 😊👍🏼,lak2803
Fri Aug 28 08:36:30 +0000 2015,In B&amp;Q looking at internal doors. Fun times 😉,lak2803
Fri Aug 28 06:10:11 +0000 2015,"Time to get up. So many things to do, such a busy day ahead...",lak2803
Fri Aug 28 05:23:24 +0000 2015,Its 620... do I get up or lie here a little longer with my cat buddy... ❓,lak2803
Fri Aug 28 05:20:16 +0000 2015,Theres nothing like cocktails and exhaustion to aid a good nights  sleep...,lak2803
Thu Aug 27 20:20:44 +0000 2015,Great night out with my favourite ladies. Much needed after the past few days. I love them so much 💕,lak2803
Wed Aug 26 18:19:43 +0000 2015,Sat down on the sofa for a quick rest... an hour ago. Need to move.,lak2803
Wed Aug 26 15:35:21 +0000 2015,How much do I want pizza right now...?,lak2803
Wed Aug 26 07:42:51 +0000 2015,"I will always love you.

Peter Gabriel - In Your Eyes ",lak2803
Wed Aug 26 07:36:08 +0000 2015,Such a busy day ahead. I need to focus but Im feeling on the edge of derailment right now.,lak2803
Wed Aug 26 07:28:04 +0000 2015,Even now the smallest thing still makes my heart break. I doesnt feel like that ever goes away.,lak2803
Wed Aug 26 06:46:15 +0000 2015,"Why is choosing a curtain pole suddenly so confusing? Too. Many. Choices. And yes, I know this isnt a real problem.",lak2803
Tue Aug 25 18:25:06 +0000 2015,Completed on my house. Got the keys. What a fab day! Whoop! 🏡🎉💕,lak2803
Tue Aug 25 08:18:30 +0000 2015,"RT   Hi - could you retweet our long stayers, Sammy and Suki? Photographed them today...buckscats.org.uk http…",lak2803
Tue Aug 25 05:39:04 +0000 2015,Big day today 🏡😁🎉,lak2803
Mon Aug 24 21:29:56 +0000 2015,How lovely PandaStory  ,lak2803
Mon Aug 24 18:35:17 +0000 2015,RT  The weather outside is frightful...but our makes are so delightful! Heres a sneak peak of October issues projects! ,lak2803
Mon Aug 24 18:21:05 +0000 2015,Thats good news at least ,lak2803
Mon Aug 24 18:20:37 +0000 2015,Had a headache so took a nap. For three hours! Woke up a bit confused as to time and day... 😴,lak2803
Mon Aug 24 15:02:17 +0000 2015,RT  On a budget? We have 21 recipes for £1.50 or less a head and they dont compromise on flavour.  htt…,lak2803
Mon Aug 24 14:55:00 +0000 2015,RT  RT   Please RT for us.... 80yr old dog owner getting very distraught over his lost dog 😓 http…,lak2803
Mon Aug 24 14:40:28 +0000 2015,RT  Flying displays by vintage jets significantly restricted until further notice by CAA - limited to fly pasts.,lak2803
Mon Aug 24 07:41:37 +0000 2015,"RT  Happy Monday, crafters! If you need a bit of a pick-me-up to get you started, check this out  …",lak2803
Mon Aug 24 07:36:23 +0000 2015,They dont sleep like this now 💕... catsoftwitter  ,lak2803
